"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","occurrence","establishment","domain","endemism","redlist","Seed.type","Sind","seeddiam","wooden","Tre.size.max","SeedMass_g","MaxHeight_m","MaxDbh_cm","LeafArea","succesional.group","ecological.group","Deciduousness","endemism1","Species","MAT","MAP","MAET","AI","Elev","pH","OC","TN","CEC","Clay","Silt","Sand","NPP","LMA","Nmass","Pmass","NPratio","scientificName","scientificNameStatus"
16530,"Cordia superba Cham.",NA,"Boraginaceae","species","accepted","Cordia superba",NA,NA,"Cordia superba","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-SE|BR-SP|BR-TO","native","Caatinga|Cerrado|Mata Atlântica","Endemica","Least Concern","orthodox","zoochoric","11","0.823",10,"0.167171179","13","43.73478917","63.22455215","late_secondary",3,"NA:19|deciduous:1|semideciduous:1","NES_SouthAmerica","Cordia superba Cham.",24.75,1543,1418,1.085,131.5,5.2,33.85,2.32,14.5,247,202.5,550,1.44,91.3,NA,NA,NA,"Cordia superba Cham.","name_w_authors"
16536,"Cordia trichotoma (Vell.) ArrÃ¡b. ex Steud.",NA,"Boraginaceae","species","accepted","Cordia trichotoma",NA,NA,"Cordia trichotoma","Árvore","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Caatinga|Cerrado|Mata Atlântica|Pampa","Não endemica","Least Concern","orthodox","abiotic","2.6","0.675",30,"0.026505602","20.5","43.938","37.30641276","pioneer",1,"NA:82|deciduous:3","not_endemic","Cordia trichotoma (Vell.) ArrÃ¡b. ex Steud.",17.4,1551,1022,1.52,985,5.2,38.2,2.84,15.4,364,136,500,1.86,88.5,29.8,NA,NA,"Cordia trichotoma (Vell.) ArrÃ¡b. ex Steud.","name_w_authors"
17512,"Croton floribundus Spreng.",NA,"Euphorbiaceae","species","accepted","Croton floribundus",NA,NA,"Croton floribundus","Árvore","Terrícola","Área Antrópica|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SP","native","Mata Atlântica","Não endemica",NA,"orthodox","abiotic","3.3","0.575",10,"0.040656453","26","44.15083717","43.19689899","pioneer",1,"NA:82|evergreen:1|semideciduous:1","NES_SouthAmerica","Croton floribundus Spreng.",18.65,1461.9,1115.1,1.329,786.9,5.18888888888889,32.8555555555556,2.93333333333333,15.4222222222222,327.666666666667,172.111111111111,500.111111111111,1.3525,78.89,29.6111111111111,1.745,17.65,"Croton floribundus Spreng.","name_w_authors"
17546,"Croton urucurana Baill.",NA,"Euphorbiaceae","species","accepted","Croton urucurana",NA,NA,"Croton urucurana","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AC|BR-AL|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO","native","Amazônia|Cerrado|Mata Atlântica","Não endemica",NA,"orthodox","abiotic","2","0.528",15,"0.008585859","19.2","34.78704431","60.47565858","pioneer",1,"NA:60|deciduous:1|evergreen:1","not_endemic","Croton urucurana Baill.",21.7,1504,1308,1.15,548,NA,NA,NA,NA,NA,NA,NA,NA,82.2,NA,NA,NA,"Croton urucurana Baill.","name_w_authors"
22915,"Dalbergia nigra (Vell.) AllemÃ£o ex Benth.",NA,"Fabaceae","species","accepted","Dalbergia nigra","VU",NA,"Dalbergia nigra","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SE|BR-SP","native","Mata Atlântica","Endemica","Vulnerable","orthodox","abiotic","5.2","0.83843",25,"0.079365079","25","71.25977594","0.79128865","early_secondary",2,"NA:58|deciduous:2","NES_SouthAmerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83154,"Enterolobium contortisiliquum (Vell.) Morong",NA,"Fabaceae","species","accepted","Enterolobium contortisiliquum",NA,NA,"Enterolobium contortisiliquum","Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-BA|BR-CE|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric","6","0.419916667",20,"0.255050265","26.5","101.2472466","0.329867229","early_secondary",2,"NA:83|deciduous:1|evergreen:1","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5315,"Eremanthus erythropappus (DC.) MacLeish",NA,"Asteraceae","species","accepted","Eremanthus erythropappus",NA,NA,"Eremanthus erythropappus","Árvore","Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual","BR-DF|BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP","native","Cerrado|Mata Atlântica","Endemica","Least Concern","orthodox","abiotic","1","0.99",10,"0.006493506","14.816","33.41099834","20.02765317","pioneer",1,"NA:42|deciduous:1","NES_SouthAmerica","Eremanthus erythropappus (DC.) MacLeish",17.25,1657.5,1077.5,1.54,1395.5,4.85,48.45,3.395,17.45,342.5,279,379,1.185,96.25,NA,NA,NA,"Eremanthus erythropappus (DC.) MacLeish","name_w_authors"
14045,"Genipa americana L.",NA,"Rubiaceae","species","accepted","Genipa americana","LC",NA,"Genipa americana","Arbusto|Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Igapó|Floresta de Terra Firme|Floresta de Várzea|Floresta Estacional Decidual|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica","Least Concern","intermediate","zoochoric","5.2","0.67",14,"0.117629211","18.03","50.53127037","229.7170327","early_secondary",2,"NA:55|evergreen:3|deciduous:2|semideciduous:2","not_endemic","Genipa americana L.",21.7,1504,1308,1.15,548,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,NA,NA,"Genipa americana L.","name_w_authors"
9065,"Guazuma ulmifolia Lam.",NA,"Malvaceae","species","accepted","Guazuma ulmifolia",NA,NA,"Guazuma ulmifolia","Árvore","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric","1.9","0.51",30,"0.01679878","18","37.12457739","37.57229909","pioneer",1,"NA:102|deciduous:3|semideciduous:3|evergreen:2","not_endemic","Guazuma ulmifolia Lam.",22.575,1358.25,1350.75,1.0075,468.75,5.36666666666667,29.1666666666667,2.13333333333333,13.8333333333333,311.333333333333,189.666666666667,498.666666666667,1.07666666666667,65.675,22.1,2.35,9.7,"Guazuma ulmifolia Lam.","name_w_authors"
114085,"Handroanthus heptaphyllus (Vell.) Mattos",NA,"Bignoniaceae","species","accepted","Handroanthus heptaphyllus","LC",NA,"Handroanthus heptaphyllus","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-BA|BR-CE|BR-ES|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","abiotic","6.53","0.97",20,"0.042882463","26","42.81927014","31.15085466","early_secondary",2,"NA:47|deciduous:2","NES_SouthAmerica","Handroanthus heptaphyllus (Vell.) Mattos",21.3,1374,1273,1.08,554,5.5,23.8,2.03,13.2,361,214,425,1.04,122.7,NA,NA,NA,"Handroanthus heptaphyllus (Vell.) Mattos","name_w_authors"
117466,"Handroanthus serratifolius (Vahl) S.Grose",NA,"Bignoniaceae","species","accepted","Handroanthus serratifolius",NA,NA,"Handroanthus serratifolius","Árvore","Terrícola","Floresta de Terra Firme|Floresta Estacional Perenifólia|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica",NA,"orthodox","abiotic","8","1.08",20,"0.054001012","25","55.3859202","52.08023934","late_secondary",3,"NA:119|deciduous:4|evergreen:1","not_endemic","Handroanthus serratifolius (Vahl) S.Grose",24.7,1309,1419,0.92,194,5.3,35.2,2.6,14.3,267,226,507,1.7,22.3,NA,NA,NA,"Handroanthus serratifolius (Vahl) S.Grose","name_w_authors"
22972,"Hymenaea courbaril L.",NA,"Fabaceae","species","accepted","Hymenaea courbaril","LC",NA,"Hymenaea courbaril","Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica","Least Concern","orthodox","zoochoric","19.1","0.844651282",20,"4.289487646","27.9","101.14","22.32721918","late_secondary",3,"NA:131|evergreen:3|deciduous:2|semideciduous:2","not_endemic","Hymenaea courbaril L.",22.425,1349.75,1344.25,1.0075,430.75,5.46666666666667,27.9666666666667,2.20666666666667,14.1333333333333,308,201.666666666667,490.333333333333,1.13666666666667,69.75,19.1,1.425,14.65,"Hymenaea courbaril L.","name_w_authors"
17586,"Joannesia princeps Vell.",NA,"Euphorbiaceae","species","accepted","Joannesia princeps","LC",NA,"Joannesia princeps","Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-BA|BR-CE|BR-DF|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Endemica","Vulnerable","orthodox","zoochoric","23.3","0.4975",20,"5.533088235","27","84.06188368","54.97787144","early_secondary",2,"NA:17|deciduous:1","NES_SouthAmerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8561,"Lecythis pisonis Cambess.",NA,"Lecythidaceae","species","accepted","Lecythis pisonis",NA,NA,"Lecythis pisonis","Árvore","Terrícola","Área Antrópica|Floresta Ombrófila (= Floresta Pluvial)","BR-AC|BR-AM|BR-BA|BR-ES|BR-MA|BR-MG|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-RO|BR-SP","native","Amazônia|Mata Atlântica","Endemica",NA,"orthodox","zoochoric","30","0.87",30,"4.238909239","50","150","50.77472694","late_secondary",3,"NA:45|deciduous:4|evergreen:1|semideciduous:1","not_endemic","Lecythis pisonis Cambess.",25.2,1377.5,1462.5,0.94,130,5.35,35,2.22,14.45,280,248.5,471.5,1.61,116.4,NA,NA,NA,"Lecythis pisonis Cambess.","name_w_authors"
10186,"Maclura tinctoria (L.) D.Don ex Steud.",NA,"Moraceae","species","accepted","Maclura tinctoria",NA,NA,"Maclura tinctoria","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica","Least Concern","orthodox","zoochoric","2.1","0.8366",30,"0.002916193","20","42.42894546","45.47412103","early_secondary",2,"NA:112|deciduous:10","not_endemic","Maclura tinctoria (L.) D.Don ex Steud.",17.4,1551,1022,1.52,985,5.2,38.2,2.84,15.4,364,136,500,1.86,58.8,33.1,NA,NA,"Maclura tinctoria (L.) D.Don ex Steud.","name_w_authors"
10232,"Myrsine guianensis (Aubl.) Kuntze",NA,"Primulaceae","species","accepted","Myrsine guianensis",NA,NA,"Myrsine guianensis","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica",NA,"orthodox","zoochoric","4.58","0.52",8,"0.03861613","20","30.53911181","35.90055005","early_secondary",2,"NA:55|evergreen:3","not_endemic","Myrsine guianensis (Aubl.) Kuntze",23.5666666666667,1644.33333333333,1282.66666666667,1.33333333333333,91.3333333333333,5.1,45,2.94333333333333,18.7,278.333333333333,247.666666666667,474,1.55333333333333,141.266666666667,NA,NA,NA,"Myrsine guianensis (Aubl.) Kuntze","name_w_authors"
83567,"Peltophorum dubium (Spreng.) Taub.",NA,"Fabaceae","species","accepted","Peltophorum dubium",NA,NA,"Peltophorum dubium","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual","BR-AL|BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SE|BR-SP","native","Caatinga|Cerrado","Não endemica","Least Concern","orthodox","abiotic","4","0.785",25,"0.12898003","24.4","79.6","0.288633825","early_secondary",2,"NA:69|deciduous:2|evergreen:1","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28161,"Pterogyne nitens Tul.",NA,"Fabaceae","species","accepted","Pterogyne nitens","LC",NA,"Pterogyne nitens","Árvore","Terrícola","Área Antrópica|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Não endemica","Lower Risk/near threatened","orthodox","abiotic","7.5","0.7177",15,"0.172502954","21.5","38.18498634","10.61858317","early_secondary",2,"NA:42|deciduous:3","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23143,"Schizolobium parahyba (Vell.) Blake",NA,"Fabaceae","species","accepted","Schizolobium parahyba",NA,NA,"Schizolobium parahyba","Árvore","Terrícola","Área Antrópica|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP","native","Amazônia|Mata Atlântica","Não endemica","Least Concern","orthodox","abiotic","19.3","0.382566667",30,"1.348378277","30","82.76","1.076076672","pioneer",1,"NA:43|deciduous:6","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101015,"Senegalia polyphylla (DC.) Britton & Rose",NA,"Fabaceae","species","accepted","Senegalia polyphylla",NA,NA,"Senegalia polyphylla","Arbusto|Árvore","Terrícola","Campinarana|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PI|BR-PR|BR-RJ|BR-SE|BR-SP","native","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica","Least Concern","orthodox","abiotic","1.39","0.63",20,"0.12100918","21","59.46958102","0.152112826","pioneer",1,"NA:130|evergreen:3|semideciduous:3","not_endemic","Senegalia polyphylla (DC.) Britton & Rose",19.45,1444,1154.5,1.27,769.5,5.3,26.85,2.685,14.7,348,191,461,1.26,250.4,19.6,1.17,10.8,"Senegalia polyphylla (DC.) Britton & Rose","name_w_authors"
23157,"Senna multijuga (Rich.) H.S.Irwin & Barneby",NA,"Fabaceae","species","accepted","Senna multijuga",NA,NA,"Senna multijuga","Árvore","Terrícola",NA,"BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO","native",NA,"Não endemica",NA,"orthodox","abiotic","2.23","0.5485",10,"0.012625262","20","42.96710296","1.73180295","pioneer",1,"NA:63|evergreen:2|deciduous:1","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14775,"Solanum granulosoleprosum Dunal",NA,"Solanaceae","species","accepted","Solanum granulosoleprosum","LC",NA,"Solanum granulosoleprosum","Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric",NA,"0.4",35,"0.000852","15.3","19.29914219",NA,"pioneer",1,"NA:21|evergreen:2","NES_SouthAmerica","Solanum granulosoleprosum Dunal",21.7,1504,1308,1.15,548,NA,NA,NA,NA,NA,NA,NA,NA,67.8,NA,NA,NA,"Solanum granulosoleprosum Dunal","name_w_authors"
14805,"Solanum lycocarpum A.St.-Hil.",NA,"Solanaceae","species","accepted","Solanum lycocarpum",NA,NA,"Solanum lycocarpum","Arbusto|Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)","BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-SP","native","Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric","5","0.42",5,"0.031790787","5","20.67788454","91.31480834","pioneer",1,"NA:16|deciduous:2|evergreen:2","NES_SouthAmerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114468,"Zeyheria tuberculosa (Vell.) Bureau ex Verl.",NA,"Bignoniaceae","species","accepted","Zeyheria tuberculosa","VU",NA,"Zeyheria tuberculosa","Árvore","Terrícola","Floresta Estacional Decidual","BR-AL|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SE|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Não endemica","Vulnerable","orthodox","abiotic","35.7","0.7485",20,"0.025","21","45.893","60.18113427","late_secondary",3,"NA:42|deciduous:1|semideciduous:1","NES_SouthAmerica","Zeyheria tuberculosa (Vell.) Bureau ex Verl.",21.3,1374,1273,1.08,554,5.5,23.8,2.03,13.2,361,214,425,1.04,128.2,NA,NA,NA,"Zeyheria tuberculosa (Vell.) Bureau ex Verl.","name_w_authors"
14572,"Acnistus arborescens (L.) Schltdl.",NA,"Solanaceae","species","accepted","Acnistus arborescens",NA,NA,"Acnistus arborescens","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)","BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP","native","Mata Atlântica","Não endemica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82616,"Albizia niopoides (Spruce ex Benth.) Burkart",NA,"Fabaceae","species","accepted","Albizia niopoides","LC",NA,"Albizia niopoides",NA,NA,"Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","BR-AC|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO","native","Amazônia|Cerrado|Mata Atlântica|Pampa","Não endemica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9990,"Cedrela fissilis Vell.",NA,"Meliaceae","species","accepted","Cedrela fissilis","VU",NA,"Cedrela fissilis","Árvore","Terrícola","Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Cerrado|Mata Atlântica","Não endemica","Vulnerable","orthodox","abiotic","12.5","0.500775",35,"0.036002594","27.2","63.14930062","29.4720295","early_secondary",2,"NA:140|deciduous:9","not_endemic","Cedrela fissilis Vell.",20.2333333333333,1564.66666666667,1223,1.3,548,5.5,23.8,2.03,13.2,361,214,425,1.04,94.9,20.9,1.5,13.9,"Cedrela fissilis Vell.","name_w_authors"
18257,"Centrolobium robustum (Vell.) Mart. ex Benth.",NA,"Fabaceae","species","accepted","Centrolobium robustum",NA,NA,"Centrolobium robustum","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)","BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP","native","Mata Atlântica","Não endemica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29540,"Clitoria fairchildiana R.A.Howard",NA,"Fabaceae","species","accepted","Clitoria fairchildiana",NA,NA,"Clitoria fairchildiana","Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
